,Unnamed: 0,Tarih,Şimdi
681,681,25.01.2019,220.653
682,682,24.01.2019,217.038
683,683,23.01.2019,218.402
684,684,22.01.2019,220.614
685,685,21.01.2019,219.15
686,686,20.01.2019,219.731
687,687,18.01.2019,219.606
688,688,17.01.2019,222.693
689,689,16.01.2019,222.263
690,690,15.01.2019,225.725
691,691,14.01.2019,226.832
692,692,13.01.2019,227.026
693,693,11.01.2019,225.674
694,694,10.01.2019,224.845
695,695,09.01.2019,227.585
696,696,08.01.2019,226.541
697,697,07.01.2019,223.128
698,698,06.01.2019,219.974
699,699,04.01.2019,220.129
700,700,03.01.2019,227.975
701,701,02.01.2019,227.947
702,702,01.01.2019,217.944
703,703,31.12.2018,218.191
704,704,30.12.2018,217.375
705,705,28.12.2018,217.326
706,706,27.12.2018,217.116
707,707,26.12.2018,215.454
708,708,25.12.2018,215.387
709,709,24.12.2018,216.017
710,710,23.12.2018,215.22
711,711,21.12.2018,214.477
712,712,20.12.2018,213.631
713,713,19.12.2018,211.955
714,714,18.12.2018,214.48
715,715,17.12.2018,215.3
716,716,16.12.2018,213.768
717,717,14.12.2018,213.503
718,718,13.12.2018,213.583
719,719,12.12.2018,214.271
720,720,11.12.2018,214.239
721,721,10.12.2018,213.19
722,722,09.12.2018,213.764
723,723,07.12.2018,212.978
724,724,06.12.2018,212.397
725,725,05.12.2018,212.152
726,726,04.12.2018,214.644
727,727,03.12.2018,207.952
728,728,02.12.2018,204.08
729,729,30.11.2018,204.97
730,730,29.11.2018,203.544
731,731,28.11.2018,204.923
732,732,27.11.2018,205.511
733,733,26.11.2018,206.248
734,734,25.11.2018,208.491
735,735,23.11.2018,207.604
736,736,22.11.2018,209.129
737,737,21.11.2018,209.691
738,738,20.11.2018,211.522
739,739,19.11.2018,209.121
740,740,18.11.2018,209.979
741,741,16.11.2018,209.498
742,742,15.11.2018,210.582
743,743,14.11.2018,212.768
744,744,13.11.2018,211.85
745,745,12.11.2018,211.56
746,746,11.11.2018,212.688
747,747,09.11.2018,212.461
748,748,08.11.2018,214.802
749,749,07.11.2018,211.539
750,750,06.11.2018,211.675
751,751,05.11.2018,210.647
752,752,04.11.2018,215.488
753,753,02.11.2018,215.209
754,754,01.11.2018,218.994
755,755,31.10.2018,218.344
756,756,30.10.2018,215.532
757,757,29.10.2018,219.894
758,758,28.10.2018,221.591
759,759,26.10.2018,221.822
760,760,25.10.2018,223.186
761,761,24.10.2018,226.589
762,762,23.10.2018,227.623
763,763,22.10.2018,222.707
764,764,21.10.2018,222.972
765,765,19.10.2018,222.34
766,766,18.10.2018,222.111
767,767,17.10.2018,219.921
768,768,16.10.2018,224.257
769,769,15.10.2018,227.971
770,770,14.10.2018,231.125
771,771,12.10.2018,229.998
772,772,11.10.2018,232.502
773,773,10.10.2018,233.392
774,774,09.10.2018,233.57
775,775,08.10.2018,234.058
776,776,07.10.2018,238.61
777,777,05.10.2018,236.853
778,778,04.10.2018,238.425
779,779,03.10.2018,233.353
780,780,02.10.2018,232.25
781,781,01.10.2018,227.057
782,782,30.09.2018,231.444
783,783,28.09.2018,232.035
784,784,27.09.2018,228.648
785,785,26.09.2018,235.109
786,786,25.09.2018,239.204
787,787,24.09.2018,237.443
788,788,23.09.2018,242.975
789,789,21.09.2018,242.677
790,790,20.09.2018,241.598
791,791,19.09.2018,242.052
792,792,18.09.2018,246.908
793,793,17.09.2018,243.833
794,794,16.09.2018,236.433
795,795,14.09.2018,236.759
796,796,13.09.2018,236.87
797,797,12.09.2018,246.271
798,798,11.09.2018,247.866
799,799,10.09.2018,248.641
800,800,09.09.2018,247.018
801,801,07.09.2018,246.472
802,802,06.09.2018,254.559
803,803,05.09.2018,253.515
804,804,04.09.2018,255.694
805,805,03.09.2018,256.216
806,806,02.09.2018,253.82
807,807,31.08.2018,252.648
808,808,30.08.2018,259.826
809,809,29.08.2018,251.191
810,810,28.08.2018,242.243
811,811,27.08.2018,240.056
812,812,26.08.2018,232.515
813,813,24.08.2018,233.09
814,814,23.08.2018,232.102
815,815,22.08.2018,231.735
816,816,21.08.2018,233.328
817,817,20.08.2018,233.671
818,818,19.08.2018,228.658
819,819,17.08.2018,229.627
820,820,16.08.2018,220.951
821,821,15.08.2018,225.709
822,822,14.08.2018,244.778
823,823,13.08.2018,266.64
824,824,12.08.2018,263.068
825,825,10.08.2018,250.094
826,826,09.08.2018,216.471
827,827,08.08.2018,207.116
828,828,07.08.2018,205.129
829,829,06.08.2018,204.506
830,830,05.08.2018,199.227
831,831,03.08.2018,198.249
832,832,02.08.2018,197.845
833,833,01.08.2018,195.141
834,834,31.07.2018,193.569
835,835,30.07.2018,192.049
836,836,29.07.2018,190.905
837,837,27.07.2018,190.714
838,838,26.07.2018,191.716
839,839,25.07.2018,190.244
840,840,24.07.2018,192.255
841,841,23.07.2018,186.513
842,842,22.07.2018,189.49
843,843,20.07.2018,189.632
844,844,19.07.2018,189.193
845,845,18.07.2018,189.354
846,846,17.07.2018,189.503
847,847,16.07.2018,193.621
848,848,15.07.2018,193.816
849,849,13.07.2018,193.831
850,850,12.07.2018,195.044
851,851,11.07.2018,195.446
852,852,10.07.2018,190.416
853,853,09.07.2018,191.475
854,854,08.07.2018,185.002
855,855,06.07.2018,184.572
856,856,05.07.2018,186.288
857,857,04.07.2018,188.961
858,858,03.07.2018,188.636
859,859,02.07.2018,184.276
860,860,01.07.2018,185.215
861,861,29.06.2018,184.746
862,862,28.06.2018,184.368
863,863,27.06.2018,186.2
864,864,26.06.2018,186.681
865,865,25.06.2018,190.825
866,866,24.06.2018,188.496
867,867,22.06.2018,191.062
868,868,21.06.2018,193.118
869,869,20.06.2018,193.688
870,870,19.06.2018,194.365
871,871,18.06.2018,193.973
872,872,17.06.2018,195.287
873,873,15.06.2018,194.589
874,874,14.06.2018,198.522
875,875,13.06.2018,194.788
876,876,12.06.2018,191.107
877,877,11.06.2018,188.718
878,878,10.06.2018,187.3
879,879,08.06.2018,186.612
880,880,07.06.2018,186.906
881,881,06.06.2018,190.214
882,882,05.06.2018,191.533
883,883,04.06.2018,190.425
884,884,03.06.2018,193.162
885,885,01.06.2018,193.668
886,886,31.05.2018,189.298
887,887,30.05.2018,187.17
888,888,29.05.2018,191.078
889,889,28.05.2018,191.287
890,890,27.05.2018,196.464
891,891,25.05.2018,196.855
892,892,24.05.2018,199.51
893,893,23.05.2018,190.559
894,894,22.05.2018,196.961
895,895,21.05.2018,190.368
896,896,20.05.2018,186.793
897,897,18.05.2018,186.755
898,898,17.05.2018,184.983
899,899,16.05.2018,184.011
900,900,15.05.2018,185.167
901,901,14.05.2018,183.975
902,902,13.05.2018,183.069
903,903,11.05.2018,182.895
904,904,10.05.2018,180.033
905,905,09.05.2018,180.958
906,906,08.05.2018,184.142
907,907,07.05.2018,180.441
908,908,06.05.2018,179.369
909,909,04.05.2018,178.811
910,910,03.05.2018,178.308
911,911,02.05.2018,175.657
912,912,01.05.2018,172.459
913,913,30.04.2018,171.642
914,914,29.04.2018,172.517
915,915,27.04.2018,172.002
916,916,26.04.2018,172.473
917,917,25.04.2018,173.585
918,918,24.04.2018,175.058
919,919,23.04.2018,174.974
920,920,22.04.2018,174.839
921,921,20.04.2018,175.047
922,922,19.04.2018,174.938
923,923,18.04.2018,174.505
924,924,17.04.2018,177.199
925,925,16.04.2018,177.566
